ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.36547,1.82917,10.34295,2.12133,1.58985,9.44154,0.1712,0.22946,0.90811,0.14062,0.1044,-0.01065,570.0,5.0,7.813,-36.625,319.212,-12.385,-10.167,1.18,51.1148,12.935419,77.58776,2822.581,NaN,0.864,41.496773,103.5,12 / 25,20,2019-06-22 08:38:01:226
1.75256,2.11647,9.51456,2.13445,1.9995,9.36037,-0.33354,0.25595,0.11471,-0.24821,0.04261,-0.04581,373.0,3.625,8.0,-37.0,321.059,-11.765,-12.846,1.18,49.6124,12.935419,77.58776,2822.581,NaN,0.864,41.496773,103.5,12 / 25,519,2019-06-22 08:38:01:725
3.16035,1.22583,9.50977,2.58734,1.11087,9.39372,0.30965,0.16763,-0.09943,-0.00639,-0.33663,-0.10759,324.0,3.875,9.688,-36.187,316.267,-6.291,-14.781,1.18,49.7016,12.935338,77.58775,2819.355,NaN,0.0,51.870968,,11 / 25,1020,2019-06-22 08:38:02:226
7.23049,-6.97191,-0.80924,6.26061,-4.55549,6.01853,1.95786,-3.66701,-4.79256,-0.87248,-1.30179,-0.97368,1637.0,3.313,15.313,-30.375,276.188,27.642,-29.772,1.18,49.2779,12.935338,77.58775,2819.355,NaN,0.0,51.870968,,10 / 25,1519,2019-06-22 08:38:02:725
5.99987,-4.88896,8.70532,6.63306,-4.34943,5.76674,1.28375,0.25605,2.4592,1.48609,0.0799,-0.31746,3046.0,-10.75,27.5,-23.312,317.311,31.146,-51.545,1.18,53.9921,12.935338,77.58775,2819.355,NaN,0.0,51.870968,,10 / 25,2019,2019-06-22 08:38:03:225
9.96467,0.0814,4.13718,6.43378,-1.29034,7.28779,3.65173,0.72434,-0.05643,0.2887,1.9218,0.58911,111.0,-15.187,25.5,-32.375,328.539,8.617,-46.186,0.39,47.1581,12.935313,77.5877,2819.355,NaN,0.0,31.122581,,11 / 25,2520,2019-06-22 08:38:03:726
6.6894,1.12049,5.82749,5.85257,1.0436,7.79927,0.46037,-0.49836,0.79636,0.32811,-0.83519,0.83519,38.0,-9.437,11.625,-44.062,310.231,-6.109,-36.885,0.39,63.5367,12.935313,77.5877,2819.355,NaN,0.0,31.122581,,11 / 25,3019,2019-06-22 08:38:04:225
5.80355,0.62728,7.29274,5.24746,-0.24739,8.28091,0.32794,0.68587,-0.88682,0.26313,-0.11292,0.37498,42.0,-4.312,8.813,-43.562,291.671,1.775,-31.456,0.39,59.391,12.935315,77.587654,2819.355,NaN,0.0,27.664518,,11 / 25,3519,2019-06-22 08:38:04:725
4.69264,-0.24421,8.03494,5.11607,-0.70872,8.3363,-0.1082,0.31347,-0.39658,0.03196,0.11292,0.26206,12.0,-3.562,4.875,-44.625,275.855,4.144,-31.538,0.39,56.5802,12.935315,77.587654,2819.355,NaN,0.0,27.664518,,11 / 25,4019,2019-06-22 08:38:05:225
6.85221,-0.90501,8.37013,5.70857,-0.81968,7.93163,1.23972,0.34047,0.49232,0.41227,-0.39523,-0.07031,2.0,-0.562,-0.062,-44.812,262.46,5.004,-34.656,0.39,55.4859,12.935327,77.58762,2819.355,NaN,0.0,24.206453,,12 / 26,4520,2019-06-22 08:38:05:726
5.75087,-2.30801,8.74362,4.13973,-0.22987,8.88708,-0.12376,1.49678,-0.87416,0.18217,-0.54011,0.68818,27.0,4.0,5.063,-40.125,281.363,1.322,-25.669,0.39,63.9808,12.935327,77.58762,2819.355,NaN,0.0,24.206453,,12 / 26,5020,2019-06-22 08:38:06:226
1.60412,1.13485,11.97101,3.96928,0.13543,8.96643,-0.77376,0.19731,-0.85248,0.34622,-1.66293,0.18962,0.0,3.5,1.063,-40.0,275.571,-1.195,-20.8,0.39,57.105,12.935328,77.58761,2809.677,NaN,2.16,24.206453,278.9,12 / 26,5520,2019-06-22 08:38:06:726
4.97036,-1.78607,7.78116,5.04693,-1.53298,8.26734,-1.23057,0.05336,-0.13184,-0.59763,-0.90018,0.58059,0.0,1.875,-2.625,-42.312,253.2,5.724,-28.455,0.39,56.9082,12.935328,77.58761,2809.677,NaN,2.16,24.206453,278.9,12 / 26,6020,2019-06-22 08:38:07:226
