ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.68953,4.71658,8.52336,10,2019-06-25 09:03:16:143
0.4549,4.18028,8.84897,509,2019-06-25 09:03:16:642
3.83551,-1.15401,12.0141,1010,2019-06-25 09:03:17:143
5.5737,1.83875,9.28471,1509,2019-06-25 09:03:17:642
5.92326,3.87861,5.71735,2009,2019-06-25 09:03:18:142
9.57202,1.10133,3.56736,2510,2019-06-25 09:03:18:643
11.57836,0.88585,1.2402,3009,2019-06-25 09:03:19:142
7.15388,1.97761,5.01825,3510,2019-06-25 09:03:19:643
8.79151,-0.23942,6.33985,4009,2019-06-25 09:03:20:142
6.41167,-1.54187,5.93283,4509,2019-06-25 09:03:20:642
8.81545,-6.21535,2.24097,5011,2019-06-25 09:03:21:144
6.50265,-7.22091,4.31435,5511,2019-06-25 09:03:21:644
5.48751,-8.58561,3.41892,6010,2019-06-25 09:03:22:143
3.86903,-6.90488,1.48919,6510,2019-06-25 09:03:22:643
4.4197,-10.02692,1.98719,7010,2019-06-25 09:03:23:143
3.9217,-5.73651,0.28252,7509,2019-06-25 09:03:23:642
2.82037,-7.99184,-2.91135,8010,2019-06-25 09:03:24:143
-0.36871,-6.0286,-2.806,8510,2019-06-25 09:03:24:643
-0.18196,-11.58794,-4.53462,9010,2019-06-25 09:03:25:143
-2.53307,-9.38527,-3.39977,9509,2019-06-25 09:03:25:642
-3.28006,-9.05966,-1.92494,10009,2019-06-25 09:03:26:142
-0.83797,-8.74841,-4.66869,10509,2019-06-25 09:03:26:642
-0.45969,-9.45231,-3.89776,11009,2019-06-25 09:03:27:142
2.60489,-9.23683,-2.36068,11509,2019-06-25 09:03:27:642
1.34075,-9.06445,-2.89698,12009,2019-06-25 09:03:28:142
-0.48842,-9.19852,-3.055,12509,2019-06-25 09:03:28:642
1.70946,-8.96389,-3.62482,13009,2019-06-25 09:03:29:142
3.48117,-8.86812,-4.45321,13510,2019-06-25 09:03:29:643
3.59609,-8.78193,-3.33752,14010,2019-06-25 09:03:30:143
-2.21703,-8.78193,-3.94564,14510,2019-06-25 09:03:30:643
1.30245,-8.55688,-4.2952,15009,2019-06-25 09:03:31:142
3.78284,-8.57603,-4.48195,15510,2019-06-25 09:03:31:643
3.86903,-8.37013,-3.76368,16011,2019-06-25 09:03:32:144
